Model,Mean_AUROC,Pooled_AUROC,Pooled_AUROC_95CI,Mean_PRAUC,Pooled_PRAUC,Mean_F1,Pooled_F1,Pooled_F1_95CI,Mean_Precision,Pooled_Precision,Mean_Recall,Pooled_Recall,Mean_Specificity,Pooled_Specificity,Mean_BalAcc,Pooled_BalAcc,Mean_ECE,Pooled_ECE,Mean_Brier,Pooled_Brier,Pooled_NLL
Multimodal CNN–BiGRU,0.7424842658934488,0.7597556719022689,0.721-0.795,0.8505231142589972,0.8225295332199358,0.7973088653439431,0.7969151670951157,0.766-0.825,0.7865575821688365,0.7828282828282829,0.809512898718696,0.8115183246073299,0.5597907068109576,0.6177777777777778,0.6846518027648268,0.7146480511925538,0.16840716948054907,0.14607721022169123,0.19893431067466735,0.20244120061397552,0.5933328866958618
XGBoost,0.6867402897408734,0.7244677137870855,0.682-0.766,0.7947921942507025,0.805149612912017,0.8217680202992353,0.8101851851851852,0.783-0.835,0.7429222416367404,0.7261410788381742,0.9251797548390703,0.9162303664921466,0.37191185399478555,0.41333333333333333,0.6485458044169279,0.66478184991274,0.180529874265616,0.12171211900094392,0.20787874162197112,0.2089090645313263,0.6328743329913014
Random Forest,0.675443358021811,0.695061082024433,0.646-0.736,0.7902795760872112,0.7778954727253077,0.790499968234728,0.7720090293453724,0.740-0.798,0.7040283868613756,0.6785714285714286,0.9102995502128619,0.8952879581151832,0.25200614307653846,0.28,0.5811528466447002,0.5876439790575916,0.1609142291464243,0.10536271940841373,0.20899985790395714,0.21630581979814417,0.6899863054164661
Logistic Regression,0.71245884758471,0.7172425828970332,0.676-0.758,0.815251084689484,0.7796463531463149,0.7650555425918373,0.7529107373868047,0.720-0.785,0.754368180578287,0.7442455242966752,0.7977764879711751,0.7617801047120419,0.466800957177042,0.5555555555555556,0.6322887225741084,0.6586678301337987,0.18698887731578476,0.10640546119325496,0.21584405446380658,0.2126906694056308,0.6588688203966222
