fold,th,prev,ece,brier,auc,prauc,f1,prec,rec,spec,fpr,fnr,bal_acc,Model
0,0.5179071426391602,0.532567024230957,0.19755620906179436,0.207643061876297,0.8409010496520817,0.8774752211483998,0.7958477508650519,0.7666666666666667,0.8273381294964028,0.7131147540983607,0.28688524590163933,0.17266187050359713,0.7702264417973818,Multimodal CNN–BiGRU
1,0.5047442317008972,0.7166666388511658,0.12821077853441237,0.21147407591342926,0.6261969904240767,0.8009856209573979,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.4117647058823529,0.5882352941176471,0.23255813953488372,0.5896032831737346,Multimodal CNN–BiGRU
2,0.5668240189552307,0.6746987700462341,0.12645434022667895,0.1942601203918457,0.7248677248677249,0.8045049483534489,0.7927927927927928,0.8,0.7857142857142857,0.5925925925925926,0.4074074074074074,0.21428571428571427,0.6891534391534391,Multimodal CNN–BiGRU
3,0.5369235277175903,0.7972972989082336,0.2220720499753952,0.17543774843215942,0.7638418079096045,0.9096815028469889,0.8888888888888888,0.896551724137931,0.8813559322033898,0.6,0.4,0.11864406779661017,0.7406779661016949,Multimodal CNN–BiGRU
4,0.5698674321174622,0.6086956262588501,0.16774246960446454,0.2058565467596054,0.7566137566137566,0.8599682779887509,0.7415730337078652,0.7021276595744681,0.7857142857142857,0.48148148148148145,0.5185185185185185,0.21428571428571427,0.6335978835978836,Multimodal CNN–BiGRU
0,0.5,0.5325670498084292,0.15334444507328487,0.2112206369638443,0.7902170067224907,0.8172644862122165,0.7706422018348624,0.6702127659574468,0.9064748201438849,0.4918032786885246,0.5081967213114754,0.09352517985611511,0.6991390494162047,XGBoost
1,0.5,0.7166666666666667,0.14552908005813758,0.20572856068611145,0.6362859097127224,0.7895615056179279,0.8131868131868132,0.7708333333333334,0.8604651162790697,0.35294117647058826,0.6470588235294118,0.13953488372093023,0.606703146374829,XGBoost
2,0.5,0.6746987951807228,0.23545500402709088,0.24224475026130676,0.6511243386243387,0.7845192546252622,0.8181818181818182,0.7105263157894737,0.9642857142857143,0.18518518518518517,0.8148148148148148,0.03571428571428571,0.5747354497354498,XGBoost
3,0.5,0.7972972972972973,0.13684783553754962,0.13033775985240936,0.7401129943502824,0.9041316810220676,0.926829268292683,0.890625,0.9661016949152542,0.5333333333333333,0.4666666666666667,0.03389830508474576,0.7497175141242938,XGBoost
4,0.5,0.6086956521739131,0.23147300663201706,0.24986200034618378,0.6159611992945326,0.6784840437760382,0.78,0.6724137931034483,0.9285714285714286,0.2962962962962963,0.7037037037037037,0.07142857142857142,0.6124338624338624,XGBoost
0,0.5,0.5325670498084292,0.14101698079805774,0.23047564541268503,0.7255867437197783,0.7785173467405758,0.717201166180758,0.6029411764705882,0.8848920863309353,0.3360655737704918,0.6639344262295082,0.11510791366906475,0.6104788300507136,Random Forest
1,0.5,0.7166666666666667,0.16059914081121737,0.21668555860687475,0.6075581395348838,0.7928962273745618,0.7597765363128491,0.7311827956989247,0.7906976744186046,0.2647058823529412,0.7352941176470589,0.20930232558139536,0.5277017783857729,Random Forest
2,0.5,0.6746987951807228,0.16627430894211448,0.23099518417248088,0.6187169312169312,0.7490392843709371,0.8120300751879699,0.7012987012987013,0.9642857142857143,0.14814814814814814,0.8518518518518519,0.03571428571428571,0.5562169312169312,Random Forest
3,0.5,0.7972972972972973,0.11776618354648194,0.13129233080148983,0.7604519774011299,0.9061202544279425,0.9206349206349206,0.8656716417910447,0.9830508474576272,0.4,0.6,0.01694915254237288,0.6915254237288135,Random Forest
4,0.5,0.6086956521739131,0.21891453163424998,0.23555057052625505,0.6649029982363316,0.7248247675220393,0.7428571428571429,0.6190476190476191,0.9285714285714286,0.1111111111111111,0.8888888888888888,0.07142857142857142,0.5198412698412699,Random Forest
0,0.5,0.5325670498084292,0.0897800185638338,0.19650835879063336,0.7654204505248261,0.7954357405583685,0.7214285714285714,0.7163120567375887,0.7266187050359713,0.6721311475409836,0.32786885245901637,0.2733812949640288,0.6993749262884774,Logistic Regression
1,0.5,0.7166666666666667,0.2520277477312619,0.2624810090011325,0.6429548563611492,0.8076668636725179,0.7019867549668874,0.8153846153846154,0.6162790697674418,0.6470588235294118,0.35294117647058826,0.38372093023255816,0.6316689466484269,Logistic Regression
2,0.5,0.6746987951807228,0.18803377046406033,0.20016123147177634,0.7076719576719578,0.805027858373456,0.7833333333333333,0.734375,0.8392857142857143,0.37037037037037035,0.6296296296296297,0.16071428571428573,0.6048280423280423,Logistic Regression
3,0.5,0.7972972972972973,0.14362003694521808,0.143728790348083,0.8033898305084746,0.9425097605696078,0.8521739130434782,0.875,0.8305084745762712,0.5333333333333333,0.4666666666666667,0.1694915254237288,0.6819209039548022,Logistic Regression
4,0.5,0.6086956521739131,0.2614828128745496,0.2763408827074077,0.6428571428571429,0.7256152002734698,0.7663551401869159,0.6307692307692307,0.9761904761904762,0.1111111111111111,0.8888888888888888,0.023809523809523808,0.5436507936507936,Logistic Regression
